"published","link","site","text","title"
2023-11-08 13:32:12,https://jatim.tribunnews.com/2023/11/08/geger-wanita-pasuruan-ditemukan-tewas-di-kamar-mandi-suami-temukan-pertama-kali-ada-luka-di-pundak,tribunnews.com,"Laporan Wartawan Tribun Jatim Network, Galih LintartikaTRIBUNJATIM.COM, PASURUAN - Warga Dusun Randupitu, Desa Randupitu, Kecamatan Gempol, Kabupaten Pasuruan mendadak geger, Selasa (9/11/2023) malam.
Itu setelah salah satu warganya yakni Endang,","Geger Wanita Pasuruan Ditemukan Tewas di Kamar Mandi, Suami Temukan Pertama Kali, Ada Luka di Pundak"
2023-11-08 13:30:20,https://belitung.tribunnews.com/2023/11/08/breakingnews-kawanan-perampok-toko-emas-di-pali-ditangkap-di-solok-dan-bengkulu,tribunnews.com,"Aksi perampok bersenjata api di toko emas Pasar Inpres PALI terekam kamera CCTV.
POSBELITUNG.CO, PALEMBANG - Pelaku perampokan di Toko emas Pasar Inpres Pendopo, Kecamatan Talang Ubi, Kabupaten PALI, berhasil dibekuk oleh personel Unit IV Subdit ",BREAKINGNEWS: Kawanan Perampok Toko Emas Rp 2 M di PALI Ditangkap di Solok dan Bengkulu
2023-11-08 13:30:00,https://radarsitubondo.jawapos.com/blambangan-raya/2003259994/tanpa-ada-sebab-siswa-smp-dihajar-dua-pemuda-misterius-di-dekat-makam-pahlawan-banyuwangi,jawapos.com,"BANYUWANGI, RadarSitubondo.id – Seorang siswa SMP di Banyuwangi kembali menjadi korban penganiayaan.
Petaka tersebut terjadi pada Sabtu (4/11) pukul 22.00 di depan Taman Makam Pahlawan (TMP) Banyuwangi.
Siswa yang masih duduk di bangku kelas III ","Tanpa Ada Sebab, Siswa SMP Dihajar Dua Pemuda Misterius di Dekat Makam Pahlawan Banyuwangi"
2023-11-08 13:30:00,https://jatim.viva.co.id/kabar/8499-gas-helium-dipesan-sendiri-oleh-mahasiswi-unair-surabaya-sebelum-tewas,viva.co.id,"Surabaya, VIVA Jatim –Tabir yang menyelimuti kasus kematian CA atau BCA (21), seorang mahasiswi dari Universitas Airlangga (Unair) Surabaya, mulai terungkap.
Polisi menemukan petunjuk asal muasal tabung berisi gas helium beserta selang plastik ya",Gas Helium Dipesan Sendiri Oleh Mahasiswi Unair Surabaya Sebelum Tewas
2023-11-08 13:28:25,https://mediaindonesia.com/internasional/627990/lebih-dari-412-muslim-di-jerman-alami-rasisme-dan-diskriminasi,mediaindonesia.com,"LEBIH dari 41,2% laki-laki muslim mengalami rasisme dalam kehidupan sehari-hari di Jerman.
Lebih dari sepertiga laki-laki muslim atau sebesar 39%, melaporkan pengalaman diskriminasi dan rasisme yang lebih sering terjadi di kepolisian.
Pada Senin ","Meningkat Pascakonflik di Gaza, Lebih dari 41,2% Muslim di Jerman Alami Rasisme Setiap Hari"
2023-11-08 13:27:34,https://jatim.antaranews.com/berita/745155/polisi-kakek-bunuh-istri-di-garum-blitar-diduga-karena-cemburu,antaranews.com,"Polisi: Kakek bunuh istri di Garum Blitar diduga karena cemburuBlitar (ANTARA) - Aparat Kepolisian Resor Blitar, Jawa Timur menangkap seorang kakek pelaku pembunuhan kepada istrinya di Kecamatan Garum, Kabupaten Blitar, diduga karena cemburu.
""Sa",Polisi: Kakek bunuh istri di Garum Blitar diduga karena cemburu
2023-11-08 13:26:45,https://www.beritasatu.com/megapolitan/2779900/korban-dugaan-pelecehan-seksual-miss-universe-2023-bakal-diperiksa-besok,beritasatu.com,"Jakarta, Beritasatu.com - Polda Metro Jaya bakal kembali memeriksa korban dugaan pelecehan seksual Miss Universe 2023.
BACA JUGA Korban Pelecehan Miss Universe Indonesia 2023 Minta Polisi Tetapkan Tersangka BaruADVERTISEMENTLebih lanjut, Mellisa ",Korban Dugaan Pelecehan Seksual Miss Universe 2023 Bakal Diperiksa Besok
2023-11-08 13:26:00,https://malang.viva.co.id/hukum/3956-kesaksian-tetangga-endang-di-pasuruan-suasana-sepi-tidak-ada-jeritan-korban-saat-pembunuhan,viva.co.id,"Pasuruan, VIVA – Tetangga Endang warga Desa Randupitu, Kecamatan Gempol, Kabupaten Pasuruan yang tewas dibunuh dengan cara mengenaskan mengaku tidak mendengar suara gaduh ataupun jeritan korban.
Baca Juga : Kasus Istri di Pasuruan Tewas Mengenask","Kesaksian Tetangga Endang di Pasuruan, 'Suasana Sepi Tidak ada Jeritan Korban saat Pembunuhan'"
2023-11-08 13:25:52,https://jateng.tribunnews.com/2023/11/08/pelaku-pencabulan-2-anak-kandung-ditangkap-polisi-saat-tidur-kaget-dinyanyikan-selamat-ulang-tahun,tribunnews.com,"Pelaku Pencabulan 2 Anak Kandung Ditangkap Polisi Saat Tidur, Kaget Dinyanyikan Selamat Ulang TahunTRIBUNJATENG.COM - Pelaku pencabulan terhadap 2 anak kandungnya di Kawasan Banuaran, Kecamatan Lubuk Begalung, Padang berhasil diamankan.
Bahkan pe","Pelaku Pencabulan 2 Anak Kandung Ditangkap Polisi Saat Tidur, Kaget Dinyanyikan Selamat Ulang Tahun"
2023-11-08 13:25:42,https://news.okezone.com/read/2023/11/08/610/2916576/rampok-toko-emas-di-pasar-inpres-pali-ini-tampang-5-pelaku,okezone.com,"PALEMBANG - Polisi telah menangkap seluruh pelaku perampokan toko emas di Pasar Inpres Pendopo Kelurahan Talang Ubi, Kabupaten Penukal Abab Lematang Ilir (PALI), Sumatera Selatan (Sumsel), yang berjumlah lima orang.
Direktur Ditreskrimum Polda Su","Rampok Toko Emas di Pasar Inpres Pali, Ini Tampang 5 Pelaku : Okezone News"
